Decade,CountryDescription,CountryCode,FertilizerKgHa,PesticideKgHa,RyeActualYield,BarleyActualYield,WheatActualYield,IncompleteWarning,InsertedBy
80,Gambia,GMB,3.20855614973262,0.18,,,,Y,xyz
90,Gambia,GMB,5.400603820710078,0.344,,,,Y,xyz
00,Gambia,GMB,7.513810282887487,2.131111111111111,,,,Y,xyz
10,Gambia,GMB,2.2035404040404107,1.3157142857142858,,,,Y,xyz
80,Germany,DEU,279.901428452093,2.52,3.7799999999999994,5.36,6.27,N,xyz
90,Germany,DEU,243.41797754201997,2.535,4.935,5.5680000000000005,6.9590000000000005,N,xyz
00,Germany,DEU,205.37716523171088,3.127,4.960999999999999,5.984,7.358,N,xyz
10,Germany,DEU,198.458963846333,3.8228571428571425,5.25,6.412857142857143,7.591428571428572,N,xyz
80,Ghana,GHA,4.81481481481481,0.02,,,,Y,xyz
90,Ghana,GHA,3.751554914088058,0.05600000000000001,,,,Y,xyz
00,Ghana,GHA,12.747493140750304,0.036,,,,Y,xyz
10,Ghana,GHA,24.466941940137044,0.05,,,,Y,xyz
80,Greece,GRC,240.082787167989,1.87,1.8499999999999996,1.7400000000000002,1.9299999999999997,N,xyz
90,Greece,GRC,187.6557709849924,2.1710000000000003,2.104,2.4880000000000004,2.556,N,xyz
00,Greece,GRC,132.2554159932249,2.378,2.2459999999999996,2.479,2.44,N,xyz
10,Greece,GRC,126.25120316049242,2.565714285714286,2.184285714285714,2.777142857142857,2.8042857142857143,N,xyz
80,Guatemala,GTM,90.0,6.73,,0.7900000000000005,1.9999999999999996,Y,xyz
90,Guatemala,GTM,132.8999968073108,6.045,,2.1640000000000006,2.0359999999999996,Y,xyz
00,Guatemala,GTM,127.19731163177354,6.235,,2.172,2.2199999999999998,Y,xyz
10,Guatemala,GTM,296.8585990991237,9.65857142857143,,1.9128571428571435,2.115714285714285,Y,xyz
80,Guinea,GIN,0.406940063091483,0.02,,,,Y,xyz
90,Guinea,GIN,1.141206310355436,0.042,,,,Y,xyz
00,Guinea,GIN,1.0164147709745692,0.11100000000000002,,,,Y,xyz
10,Guinea,GIN,4.241300185391166,0.15142857142857144,,,,Y,xyz
80,Guyana,GUY,25.0,0.58,,,,Y,xyz
90,Guyana,GUY,29.61061111111111,0.582,,,,Y,xyz
00,Guyana,GUY,33.35936507936508,0.594,,,,Y,xyz
10,Guyana,GUY,41.80430612244896,0.8200000000000001,,,,Y,xyz
80,Honduras,HND,10.2558139534884,2.51,,,0.5800000000000001,Y,xyz
90,Honduras,HND,67.56387229590283,2.696,,,0.5730000000000002,Y,xyz
00,Honduras,HND,112.61304186457266,2.537,,,0.5370000000000001,Y,xyz
10,Honduras,HND,143.9961680672267,4.42,,,0.5500000000000002,Y,xyz
80,Hungary,HUN,134.535813217254,2.41,2.5300000000000002,4.61,5.08,N,xyz
90,Hungary,HUN,74.91812678905583,1.327,2.0420000000000003,3.372,3.9909999999999997,N,xyz
00,Hungary,HUN,94.0728071107615,2.0629999999999997,2.221,3.474,4.029999999999999,N,xyz
10,Hungary,HUN,113.3761003819204,1.9714285714285715,2.801428571428572,4.328571428571428,4.757142857142857,N,xyz
80,Iceland,ISL,170.316176470588,0.02,,,,Y,xyz
90,Iceland,ISL,154.39506857078382,0.020999999999999998,,,,Y,xyz
00,Iceland,ISL,151.5462178239683,0.038,,,,Y,xyz
10,Iceland,ISL,169.06800158941215,0.027142857142857142,,0.0,,Y,xyz
80,India,IND,73.523024122257,0.44,,1.5,2.1200000000000006,Y,xyz
90,India,IND,90.72764493542124,0.341,,1.7879999999999998,2.4960000000000004,Y,xyz
00,India,IND,133.56562705133678,0.205,,2.05,2.7270000000000003,Y,xyz
10,India,IND,167.2568805085463,0.3157142857142857,,2.5014285714285713,3.0642857142857145,Y,xyz
80,Indonesia,IDN,123.478003258776,0.08,,,,Y,xyz
90,Indonesia,IDN,136.0585454527911,0.053000000000000005,,,,Y,xyz
00,Indonesia,IDN,154.8054417231641,0.04,,,,Y,xyz
10,Indonesia,IDN,219.71584074254912,0.032857142857142856,,,,Y,xyz
80,Iran,IRN,76.4318630678078,0.65,,1.3499999999999999,1.2800000000000002,Y,xyz
90,Iran,IRN,70.32435303801347,0.516,0.0,1.5819999999999999,1.6360000000000003,N,xyz
00,Iran,IRN,98.01415022763385,0.374,0.0,1.779,1.9380000000000002,N,xyz
10,Iran,IRN,53.3122395363362,0.28285714285714286,0.0,1.804285714285714,1.7828571428571431,N,xyz
80,Iraq,IRQ,41.4,0.13,,0.96,1.0100000000000002,Y,xyz
90,Iraq,IRQ,68.54996856708127,0.13399999999999998,,0.6220000000000001,0.6930000000000004,Y,xyz
00,Iraq,IRQ,61.34563697760827,0.19,,0.8539999999999999,1.3750000000000004,Y,xyz
10,Iraq,IRQ,36.09584140350781,0.07428571428571429,,1.4857142857142858,2.5871428571428576,Y,xyz
80,Ireland,IRL,665.033621517771,1.93,2.1899999999999995,5.92,8.5,N,xyz
90,Ireland,IRL,661.7577752302639,1.923,2.2179999999999995,6.058,7.976999999999999,N,xyz
00,Ireland,IRL,700.3527655631203,2.356,2.6049999999999995,6.534000000000001,8.43,N,xyz
10,Ireland,IRL,1181.5763545834002,4.367142857142857,3.144285714285714,6.771428571428571,8.317142857142857,N,xyz
80,Israel,ISR,299.125364431487,5.78,,0.5199999999999998,3.2,Y,xyz
90,Israel,ISR,305.1326638195331,6.198,,0.6309999999999999,1.953,Y,xyz
00,Israel,ISR,274.71294421137407,15.088,,1.2179999999999997,1.9490000000000003,Y,xyz
10,Israel,ISR,264.78045827004604,15.404285714285715,,2.1128571428571425,2.788571428571429,Y,xyz
80,Italy,ITA,215.754549489569,8.4,2.5699999999999994,3.6399999999999997,2.92,N,xyz
90,Italy,ITA,217.2474675384095,7.417,2.6259999999999994,3.728,3.35,N,xyz
00,Italy,ITA,162.4185795327771,7.87,2.7889999999999997,3.595,3.432,N,xyz
10,Italy,ITA,129.8081759622187,6.64,3.0871428571428567,3.7914285714285714,3.9428571428571426,N,xyz
80,Jamaica,JAM,160.504201680672,5.56,,,,Y,xyz
90,Jamaica,JAM,159.9361383976779,3.8899999999999997,,,,Y,xyz
00,Jamaica,JAM,85.38120291353394,2.648,,,,Y,xyz
10,Jamaica,JAM,74.08508333333332,2.89,,,,Y,xyz
80,Japan,JPN,385.486577181208,15.22,0.0,3.26,3.65,N,xyz
90,Japan,JPN,349.5780791278217,15.922,0.0,3.537,3.4219999999999997,N,xyz
00,Japan,JPN,313.5342165946273,13.797,,3.3049999999999997,3.8129999999999997,Y,xyz
10,Japan,JPN,250.852876968143,11.727142857142857,,2.8971428571428572,4.024285714285714,Y,xyz
80,Jordan,JOR,93.75,2.95,,0.8799999999999999,1.4499999999999997,Y,xyz
90,Jordan,JOR,98.59681494306668,2.98,,0.953,1.4729999999999996,Y,xyz
00,Jordan,JOR,201.87036215349926,4.769,,0.6939999999999998,1.0909999999999997,Y,xyz
10,Jordan,JOR,212.39628457396836,3.1699999999999995,,1.0157142857142856,1.3885714285714281,Y,xyz
82,Kazakhstan,KAZ,13.550135501355,0.49,0.8599999999999999,1.5100000000000002,1.33,N,xyz
92,Kazakhstan,KAZ,2.641468180806254,0.268,0.922,0.9880000000000001,0.874,N,xyz
02,Kazakhstan,KAZ,2.011642938354177,0.21400000000000002,0.9450000000000001,1.1670000000000003,1.059,N,xyz
12,Kazakhstan,KAZ,5.3457155002255,0.374,1.174,1.452,1.1620000000000001,N,xyz
80,Kenya,KEN,21.3827655310621,0.63,,1.82,1.6600000000000001,Y,xyz
90,Kenya,KEN,24.7720132527449,0.714,,2.0010000000000003,1.8219999999999998,Y,xyz
00,Kenya,KEN,31.6708334981518,0.274,,2.994,2.414,Y,xyz
10,Kenya,KEN,34.2567822451365,0.25,,3.125714285714286,1.9757142857142855,Y,xyz
82,Kuwait,KWT,200.0,2.8,,0.0,0.0,Y,xyz
92,Kuwait,KWT,168.38377289377289,2.7920000000000003,,0.0,0.0,Y,xyz
02,Kuwait,KWT,264.39602954449686,2.126,,0.0,0.0,Y,xyz
12,Kuwait,KWT,861.4308424471628,2.114,,0.0,0.0,Y,xyz
82,Kyrgyzstan,KGZ,24.2424242424242,1.74,1.0,2.35,2.7299999999999995,N,xyz
92,Kyrgyzstan,KGZ,20.112921706221844,0.9179999999999999,1.584,1.8400000000000003,2.226,N,xyz
02,Kyrgyzstan,KGZ,22.285873140532907,0.546,2.39875,1.9620000000000002,2.1659999999999995,N,xyz
12,Kyrgyzstan,KGZ,18.0436286919933,0.346,2.6079999999999997,1.9920000000000002,2.258,N,xyz
82,Latvia,LVA,99.5260663507109,0.59,2.2500000000000004,1.2399999999999998,2.58,N,xyz
92,Latvia,LVA,46.261645823519174,0.313,1.9570000000000003,1.7859999999999996,2.507,N,xyz
02,Latvia,LVA,69.63198791030928,0.7859999999999999,2.6180000000000003,2.3449999999999998,3.3909999999999996,N,xyz
12,Latvia,LVA,102.8433759194834,1.178,3.688,3.322,4.351999999999999,N,xyz
80,Lebanon,LBN,138.79781420765,4.0,,1.7699999999999998,1.9699999999999998,Y,xyz
90,Lebanon,LBN,283.6075754093211,4.853,,1.7879999999999998,2.225,Y,xyz
00,Lebanon,LBN,223.6532200602359,6.7540000000000004,,1.8569999999999998,2.787,Y,xyz
10,Lebanon,LBN,274.71261956709975,7.068571428571429,,2.517142857142857,3.2785714285714285,Y,xyz
80,Libya,LBY,42.9916897506925,1.27,,0.48,1.23,Y,xyz
90,Libya,LBY,41.078469218132646,1.241,,0.4790000000000001,0.8789999999999999,Y,xyz
00,Libya,LBY,31.805433916144473,0.9189999999999999,,0.49000000000000005,0.7769999999999999,Y,xyz
10,Libya,LBY,22.294382774202543,0.3,,0.5057142857142857,0.7742857142857142,Y,xyz
82,Lithuania,LTU,54.0727902946274,0.47,2.09,1.5599999999999996,2.9400000000000004,N,xyz
92,Lithuania,LTU,55.999187075834605,0.316,1.991,2.159,2.805,N,xyz
02,Lithuania,LTU,99.86963249030887,0.944,2.3120000000000003,2.7969999999999997,3.7560000000000002,N,xyz
12,Lithuania,LTU,123.38637283304278,1.264,2.3600000000000003,3.586,4.658,N,xyz
92,Luxembourg,LUX,267.467741935484,2.45,6.38,5.41,5.969999999999999,N,xyz
02,Luxembourg,LUX,276.669188494141,2.444,5.85,5.331,6.113999999999999,N,xyz
12,Luxembourg,LUX,249.070456077286,2.336,5.576,5.406000000000001,5.869999999999999,N,xyz
80,Madagascar,MDG,3.99080882352941,0.04,,,1.9999999999999996,Y,xyz
90,Madagascar,MDG,3.6118585913714165,0.03,,,2.3149999999999995,Y,xyz
00,Madagascar,MDG,3.09554102259887,0.038,,,2.3679999999999994,Y,xyz
10,Madagascar,MDG,7.326218095238102,0.12714285714285714,,,2.397142857142857,Y,xyz
80,Malawi,MWI,21.3333333333333,0.07,,,0.77,Y,xyz
90,Malawi,MWI,22.65069093748125,0.066,,,0.6329999999999999,Y,xyz
00,Malawi,MWI,31.496754723742516,0.099,,,1.1960000000000002,Y,xyz
10,Malawi,MWI,32.35826309523809,0.4628571428571429,,,1.3271428571428572,Y,xyz
80,Malaysia,MYS,977.32645604986,6.08,,,,Y,xyz
90,Malaysia,MYS,1279.291860578772,5.936999999999999,,,,Y,xyz
00,Malaysia,MYS,1627.048674938902,6.574,,,,Y,xyz
10,Malaysia,MYS,2168.5629078384486,7.197142857142857,,,,Y,xyz
80,Mali,MLI,7.40379931807112,0.12,,,0.0,Y,xyz
90,Mali,MLI,9.07305471301687,0.024,,,0.0,Y,xyz
00,Mali,MLI,15.760425726752974,0.004,,,0.0,Y,xyz
10,Mali,MLI,19.92612700444519,0.0,,,0.0,Y,xyz
80,Mauritius,MUS,282.989795918367,8.55,,,,Y,xyz
90,Mauritius,MUS,346.2471157642019,5.686999999999999,,,,Y,xyz
00,Mauritius,MUS,275.1431384158288,8.687999999999999,,,,Y,xyz
10,Mauritius,MUS,256.31750913823015,9.95142857142857,,,,Y,xyz
80,Mexico,MEX,82.8412179280483,1.12,0.0,1.87,4.21,N,xyz
90,Mexico,MEX,72.57042286165543,1.064,0.0,2.086,4.254,N,xyz
00,Mexico,MEX,70.11433000111379,1.3800000000000001,0.0,2.5620000000000003,4.634,N,xyz
10,Mexico,MEX,94.03234128290376,2.025714285714286,0.0,2.602857142857143,4.6499999999999995,N,xyz
82,Moldova,MDA,77.6497695852535,1.32,2.02,3.3,3.2900000000000005,N,xyz
92,Moldova,MDA,30.095236059006407,1.241,1.784,2.0989999999999993,2.6980000000000004,N,xyz
02,Moldova,MDA,10.938711033299805,1.201,1.429,1.6669999999999994,2.3210000000000006,N,xyz
12,Moldova,MDA,34.26609174281344,1.412,2.6439999999999997,2.54,3.1640000000000006,N,xyz
80,Morocco,MAR,40.1975422074193,0.99,0.8300000000000001,0.8900000000000001,1.3299999999999996,N,xyz
90,Morocco,MAR,35.43803577276841,1.184,0.9630000000000001,0.8140000000000001,1.1079999999999997,N,xyz
00,Morocco,MAR,54.71078840312462,1.542,0.7930000000000001,0.9460000000000001,1.4899999999999998,N,xyz
10,Morocco,MAR,62.6256388077261,1.4828571428571427,0.6571428571428574,1.0885714285714287,1.821428571428571,N,xyz
80,Mozambique,MOZ,0.753623188405797,0.03,,,1.8000000000000003,Y,xyz
90,Mozambique,MOZ,1.9178621193531558,0.02,,,1.1600000000000006,Y,xyz
00,Mozambique,MOZ,4.757990917028996,0.11400000000000002,,,1.1690000000000005,Y,xyz
10,Mozambique,MOZ,5.75857623261694,0.13,,,1.1742857142857146,Y,xyz
80,Myanmar,MMR,7.89505592139647,0.02,,,0.9500000000000002,Y,xyz
90,Myanmar,MMR,15.119350964127884,0.024,,,0.9680000000000003,Y,xyz
00,Myanmar,MMR,9.588392881400143,0.158,,,1.4860000000000004,Y,xyz
